frame,tempo,atividade/emocao
926,00:30,mao no rosto
927,00:30,careta
927,00:30,mao no rosto
927,00:30,mao no rosto
928,00:30,careta
928,00:30,mao no rosto
928,00:30,mao no rosto
929,00:30,careta
929,00:30,mao no rosto
929,00:30,mao no rosto
930,00:31,careta
930,00:31,mao no rosto
930,00:31,mao no rosto
931,00:31,careta
931,00:31,mao no rosto
931,00:31,mao no rosto
932,00:31,careta
932,00:31,mao no rosto
932,00:31,mao no rosto
933,00:31,careta
933,00:31,mao no rosto
933,00:31,mao no rosto
934,00:31,careta
934,00:31,mao no rosto
934,00:31,mao no rosto
935,00:31,careta
935,00:31,mao no rosto
935,00:31,mao no rosto
936,00:31,careta
936,00:31,mao no rosto
936,00:31,mao no rosto
937,00:31,careta
937,00:31,mao no rosto
937,00:31,mao no rosto
938,00:31,careta
938,00:31,mao no rosto
938,00:31,mao no rosto
939,00:31,careta
939,00:31,mao no rosto
939,00:31,mao no rosto
940,00:31,careta
940,00:31,mao no rosto
940,00:31,mao no rosto
941,00:31,careta
941,00:31,mao no rosto
941,00:31,mao no rosto
942,00:31,careta
942,00:31,mao no rosto
942,00:31,mao no rosto
943,00:31,careta
943,00:31,mao no rosto
943,00:31,mao no rosto
944,00:31,careta
944,00:31,mao no rosto
944,00:31,mao no rosto
945,00:31,careta
945,00:31,mao no rosto
945,00:31,mao no rosto
946,00:31,careta
946,00:31,mao no rosto
946,00:31,mao no rosto
947,00:31,careta
947,00:31,mao no rosto
947,00:31,mao no rosto
948,00:31,careta
948,00:31,mao no rosto
948,00:31,mao no rosto
949,00:31,careta
949,00:31,mao no rosto
949,00:31,mao no rosto
950,00:31,careta
950,00:31,mao no rosto
950,00:31,mao no rosto
951,00:31,careta
951,00:31,mao no rosto
951,00:31,mao no rosto
952,00:31,careta
952,00:31,mao no rosto
952,00:31,mao no rosto
953,00:31,careta
953,00:31,mao no rosto
953,00:31,mao no rosto
954,00:31,careta
954,00:31,mao no rosto
954,00:31,mao no rosto
955,00:31,careta
955,00:31,mao no rosto
955,00:31,mao no rosto
956,00:31,careta
956,00:31,mao no rosto
956,00:31,mao no rosto
957,00:31,careta
957,00:31,mao no rosto
957,00:31,mao no rosto
958,00:31,careta
958,00:31,mao no rosto
958,00:31,mao no rosto
959,00:31,careta
959,00:31,mao no rosto
959,00:31,mao no rosto
960,00:32,careta
960,00:32,mao no rosto
960,00:32,mao no rosto
961,00:32,careta
961,00:32,mao no rosto
961,00:32,mao no rosto
962,00:32,careta
962,00:32,mao no rosto
962,00:32,mao no rosto
963,00:32,careta
963,00:32,mao no rosto
963,00:32,mao no rosto
964,00:32,careta
964,00:32,mao no rosto
964,00:32,mao no rosto
965,00:32,careta
965,00:32,mao no rosto
965,00:32,mao no rosto
966,00:32,careta
966,00:32,mao no rosto
966,00:32,mao no rosto
967,00:32,careta
967,00:32,mao no rosto
967,00:32,mao no rosto
968,00:32,careta
968,00:32,mao no rosto
968,00:32,mao no rosto
969,00:32,careta
969,00:32,mao no rosto
969,00:32,mao no rosto
970,00:32,careta
970,00:32,mao no rosto
970,00:32,mao no rosto
971,00:32,careta
971,00:32,mao no rosto
971,00:32,mao no rosto
972,00:32,careta
972,00:32,mao no rosto
972,00:32,mao no rosto
973,00:32,careta
973,00:32,mao no rosto
973,00:32,mao no rosto
974,00:32,careta
974,00:32,mao no rosto
974,00:32,mao no rosto
975,00:32,careta
975,00:32,mao no rosto
975,00:32,mao no rosto
976,00:32,careta
976,00:32,mao no rosto
976,00:32,mao no rosto
977,00:32,careta
977,00:32,mao no rosto
977,00:32,mao no rosto
978,00:32,careta
978,00:32,mao no rosto
978,00:32,mao no rosto
979,00:32,careta
979,00:32,mao no rosto
979,00:32,mao no rosto
980,00:32,careta
980,00:32,mao no rosto
980,00:32,mao no rosto
981,00:32,careta
981,00:32,mao no rosto
981,00:32,mao no rosto
982,00:32,careta
982,00:32,mao no rosto
982,00:32,mao no rosto
983,00:32,careta
983,00:32,mao no rosto
983,00:32,mao no rosto
984,00:32,careta
984,00:32,mao no rosto
984,00:32,mao no rosto
985,00:32,careta
985,00:32,mao no rosto
985,00:32,mao no rosto
986,00:32,careta
986,00:32,mao no rosto
986,00:32,mao no rosto
987,00:32,careta
987,00:32,mao no rosto
987,00:32,mao no rosto
988,00:32,careta
988,00:32,mao no rosto
988,00:32,mao no rosto
989,00:32,careta
989,00:32,mao no rosto
989,00:32,mao no rosto
990,00:33,careta
990,00:33,mao no rosto
990,00:33,mao no rosto
991,00:33,careta
991,00:33,mao no rosto
991,00:33,mao no rosto
992,00:33,careta
992,00:33,mao no rosto
992,00:33,mao no rosto
993,00:33,careta
993,00:33,mao no rosto
993,00:33,mao no rosto
994,00:33,careta
994,00:33,mao no rosto
994,00:33,mao no rosto
995,00:33,careta
995,00:33,mao no rosto
995,00:33,mao no rosto
996,00:33,careta
996,00:33,mao no rosto
996,00:33,mao no rosto
997,00:33,careta
997,00:33,mao no rosto
997,00:33,mao no rosto
998,00:33,careta
998,00:33,mao no rosto
998,00:33,mao no rosto
999,00:33,careta
999,00:33,mao no rosto
999,00:33,mao no rosto
1000,00:33,careta
